"rank","method","acc_imp_o_avg","acc_imp_o_best","nll_imp_o_avg","nll_imp_o_best","ece_imp_o_avg","ece_imp_o_best"
31,"grad_bc.uncert + M2",0.0189771929824561,0.0128982456140351,-0.0552567731131587,-0.0971495433334719,-0.1343871759937,-0.157376747055535
32,"grad_bc.uncert + SBT",0.0190438596491228,0.0129649122807017,-0.0555967684639128,-0.0974895386842259,-0.134093592008739,-0.157083163070574
33,"grad_m1 + BC",0.0186017543859649,0.0125228070175438,0.0848796553256219,0.0429868851053087,0.0188584828058977,-0.00413108825593729
34,"grad_m1 + M1",0.019459649122807,0.0133807017543859,0.0822783730793418,0.0403856028590286,0.028870874230562,0.00588130316872705
35,"grad_m1 + M2",0.0193543859649123,0.0132754385964912,0.0844823226594088,0.0425895524390957,0.0277453924533339,0.00475582139149896
36,"grad_m1 + SBT",0.019340350877193,0.0132614035087719,0.082570876207268,0.0406781059869549,0.0286410271237081,0.00565145606187319
37,"grad_m1.uncert + BC",0.0192912280701754,0.0132122807017544,-0.0503963711753226,-0.0922891413956358,-0.132258126316102,-0.155247697377937
38,"grad_m1.uncert + M1",0.019221052631579,0.0131421052631579,-0.0531336778872891,-0.0950264481076023,-0.13464666821324,-0.157636239275075
39,"grad_m1.uncert + M2",0.0190157894736842,0.0129368421052631,-0.0552538888234841,-0.0971466590437973,-0.134561180120759,-0.157550751182594
40,"grad_m1.uncert + SBT",0.0190964912280702,0.0130175438596491,-0.0555977987354262,-0.0974905689557393,-0.134304607613829,-0.157294178675664
41,"grad_m2 + BC",0.0189122807017544,0.0128333333333333,0.086509027501993,0.0446162572816799,0.0207069016290469,-0.00228266943278804
42,"grad_m2 + M1",0.0194035087719298,0.0133245614035088,0.0853305300861074,0.0434377598657943,0.0257979149403247,0.00280834387848971
43,"grad_m2 + M2",0.0194350877192982,0.0133561403508772,0.0869854695180006,0.0450926992976875,0.0265618298364101,0.00357225877457511
44,"grad_m2 + SBT",0.019440350877193,0.0133614035087719,0.0869158458030015,0.0450230755826883,0.0260268666862159,0.00303729562438093
